Name,Hash,Id,Tag,Tier,Type,Source,Equippable,Power,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,DTR Rating,# of Reviews,Mobility,Resilience,Recovery,Discipline,Intellect,Strength,Total,Mobility (Base),Resilience (Base),Recovery (Base),Discipline (Base),Intellect (Base),Strength (Base),Total (Base),Seasonal Mod,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5
Iron Will Mask,1098138990,"""6917529116564583496""",,Legendary,Helmet,ironbanner,Hunter,960,Void Energy Capacity,10,Hunter(971),true,false,3,8,,N/A,N/A,17,8,18,4,23,8,78,15,6,6,2,21,6,56,undying,Intellect + mobility,Recovery Mod*,Enhanced Sniper Rifle Targeting*,Polished Sea Stone*,Upgrade Armor*,Frostveil Mask*,
Knucklehead Radar,1321354572,"""6917529111324604713""",,Exotic,Helmet,,Hunter,930,Void Energy Capacity,9,Hunter(971),true,false,1,1,,N/A,N/A,11,13,10,22,2,2,60,11,3,10,22,2,2,50,,"P Knuckle V RESC:Resilience, P Knuckle V 7510:Recovery",Resilience Mod*,Enhanced Sniper Rifle Targeting*,Upgraded Sensor Pack*,Polished Sea Stone*,Upgrade Armor*,
Dreambane Cowl,659922705,"""6917529119404428591""",,Legendary,Helmet,moon,Hunter,951,Void Energy Capacity,5,Hunter(971),true,false,3,8,,N/A,N/A,16,7,13,12,7,7,62,6,7,13,12,7,7,52,undying,PvE Nightmares:Paragon,Mobility Mod*,Dreambane Mod*,Upgrade Armor*,,,
Wormhusk Crown,3562696927,"""6917529124234024013""",,Exotic,Helmet,,Hunter,961,Void Energy Capacity,10,Hunter(971),true,false,1,3,,N/A,N/A,19,4,19,8,8,14,72,7,2,17,6,6,12,50,,PvP Wormhusk Old:Mobility,Mobility Mod*,Hand Cannon Targeting*,Sidearm Targeting*,Burning Souls*,Iron Oxide*,Upgrade Armor*
Graviton Forfeit,2773056939,"""6917529141071467932""",,Exotic,Helmet,,Hunter,960,Void Energy Capacity,7,Hunter(971),false,false,1,2,,N/A,N/A,3,16,21,2,28,2,72,3,6,21,2,28,2,62,,,Resilience Mod*,Sniper Rifle Targeting*,Vanishing Shadow*,Upgrade Armor*,Rigel Crossroads*,
Celestial Nighthawk,1321354573,"""6917529119392889119""",,Exotic,Helmet,,Hunter,950,Solar Energy Capacity,4,Hunter(971),true,false,1,1,,N/A,N/A,3,3,38,6,6,19,75,3,3,28,6,6,19,65,,,Recovery Mod*,Hawkeye Hack*,Upgrade Armor*,Victorian Silverhawk*,,
Graviton Forfeit,2773056939,"""6917529131351669922""",,Exotic,Helmet,,Hunter,956,Void Energy Capacity,7,Hunter(971),true,false,1,2,,N/A,N/A,19,7,3,11,8,17,65,19,7,3,11,8,7,55,,,Strength Mod*,Scatter Projectile Targeting*,Vanishing Shadow*,Upgrade Armor*,Rigel Crossroads*,
Dreambane Grips,3571441640,"""6917529103043983672""",,Legendary,Gauntlets,moon,Hunter,950,Arc Energy Capacity,7,Hunter(971),true,false,3,8,,N/A,N/A,21,13,2,23,2,2,63,11,13,2,23,2,2,53,undying,PvE Nightmares:Paragon,Mobility Mod*,Enhanced Rifle Loader*,Dreambane Mod*,Upgrade Armor*,Chthonic Grips*,
Iron Will Sleeves,2547799775,"""6917529133443607844""",,Legendary,Gauntlets,ironbanner,Hunter,960,Solar Energy Capacity,5,Hunter(971),true,false,3,8,,N/A,N/A,2,15,21,7,9,16,70,2,15,11,7,9,16,60,undying,,Recovery Mod*,Auto Rifle Loader*,Iron Mossbone*,Upgrade Armor*,,
Reverie Dawn Grasps,1903023095,"""6917529130220070988""",,Legendary,Gauntlets,,Hunter,950,Arc Energy Capacity,5,Hunter(971),true,false,2,4,,N/A,N/A,2,10,13,17,7,12,61,2,10,13,7,7,12,51,outlaw,PvE Dreaming City:Discipline,Discipline Mod*,Riven's Curse*,Burnished Dreams*,Upgrade Armor*,,
